,id,name,powerstats,biography,appearance,work,connections,image
11,12,Air-Walker,"{""intelligence"": ""50"", ""strength"": ""85"", ""speed"": ""100"", ""durability"": ""85"", ""power"": ""100"", ""combat"": ""40""}","{""full-name"": ""Gabriel Lan"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""Xandar, a planet in the Tranta system, Andromeda galaxy"", ""first-appearance"": ""Fantastic Four #120"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""6'2"", ""188 cm""], ""weight"": [""240 lb"", ""108 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""White""}","{""occupation"": ""Former starship captain, Herald of Galactus"", ""base"": ""-""}","{""group-affiliation"": ""Former member of Nova Corps, Heralds of Galactus"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg""}"
12,13,Ajax,"{""intelligence"": ""56"", ""strength"": ""48"", ""speed"": ""35"", ""durability"": ""80"", ""power"": ""34"", ""combat"": ""55""}","{""full-name"": ""Francis"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""\""Frankie\"""", ""the A-Man"", ""the Attending""], ""place-of-birth"": ""-"", ""first-appearance"": ""Deadpool #14 (March, 1998)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Cyborg"", ""height"": [""6'4"", ""193 cm""], ""weight"": [""200 lb"", ""90 kg""], ""eye-color"": ""Brown"", ""hair-color"": ""Black""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""Formerly Weapon X"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg""}"
13,14,Alan Scott,"{""intelligence"": ""63"", ""strength"": ""80"", ""speed"": ""23"", ""durability"": ""90"", ""power"": ""100"", ""combat"": ""32""}","{""full-name"": ""Alan Ladd Wellington Scott"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Green Lantern"", ""White King"", ""Sentinal""], ""place-of-birth"": ""Gotham City"", ""first-appearance"": ""All-American Comics 16 (1940)"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""5'11"", ""180 cm""], ""weight"": [""201 lb"", ""90 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""-"", ""base"": ""Gotham City and New York City; Formerly Capitol City""}","{""group-affiliation"": ""Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron"", ""relatives"": ""Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/698.jpg""}"
14,15,Alex Mercer,"{""intelligence"": ""50"", ""strength"": ""80"", ""speed"": ""42"", ""durability"": ""90"", ""power"": ""100"", ""combat"": ""50""}","{""full-name"": ""Alexander J. Mercer"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Prototype"", ""Zues"", ""Blacklight""], ""place-of-birth"": ""-"", ""first-appearance"": ""-"", ""publisher"": ""Wildstorm"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""Gentek, The Infected"", ""relatives"": ""Dana Mercer (sister)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg""}"
15,16,Alex Woolsly,"{""intelligence"": ""null"", ""strength"": ""37"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": ""Alex Woolsly"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""Heroes S02E16 - Building 26"", ""publisher"": ""NBC - Heroes"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""Employee at Sam's Comics"", ""base"": ""Costa Verde, CA""}","{""group-affiliation"": ""-"", ""relatives"": ""Mr. Woolsly, Mrs. Woolsly, sister""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg""}"
16,17,Alfred Pennyworth,"{""intelligence"": ""63"", ""strength"": ""10"", ""speed"": ""17"", ""durability"": ""10"", ""power"": ""7"", ""combat"": ""55""}","{""full-name"": ""Alfred Thaddeus Crane Pennyworth"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Alfred Beagle""], ""place-of-birth"": ""-"", ""first-appearance"": ""Batman #16 (April, 1943)"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""5'10"", ""178 cm""], ""weight"": [""160 lb"", ""72 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Black""}","{""occupation"": ""Butler; Caretaker, former Actor; Field Medic; Government Agent"", ""base"": ""Wayne Manor; Batcave; Gotham City""}","{""group-affiliation"": ""Batman Family, Outsiders"", ""relatives"": ""Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/628.jpg""}"
17,18,Alien,"{""intelligence"": ""50"", ""strength"": ""28"", ""speed"": ""42"", ""durability"": ""90"", ""power"": ""57"", ""combat"": ""60""}","{""full-name"": ""Xenomorph"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""Your chest :)"", ""first-appearance"": ""Alien (1979)"", ""publisher"": ""Dark Horse Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Xenomorph XX121"", ""height"": [""8'0"", ""244 cm""], ""weight"": [""375 lb"", ""169 kg""], ""eye-color"": ""-"", ""hair-color"": ""No Hair""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""-"", ""relatives"": ""Alien Queen (mother)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg""}"
18,19,Allan Quatermain,"{""intelligence"": ""null"", ""strength"": ""null"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""(original version) King Solomon's Mines; (this version) League of Extraordinary Gentlemen #1 (America's Best Comics)"", ""publisher"": ""Wildstorm"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""(former) hunter; (current) agent of the British government"", ""base"": ""The Secret Wing of the British Museum, London""}","{""group-affiliation"": ""League of Extraordinary Gentlemen"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/630.jpg""}"
19,20,Amazo,"{""intelligence"": ""63"", ""strength"": ""100"", ""speed"": ""83"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""100""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Professor Ivos Amazing Android"", ""Timazo"", ""Humazo"", ""Hourmazo""], ""place-of-birth"": ""-"", ""first-appearance"": ""Brave and the Bold #30 (July, 1960)"", ""publisher"": ""DC Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Android"", ""height"": [""8'5"", ""257 cm""], ""weight"": [""385 lb"", ""173 kg""], ""eye-color"": ""Red"", ""hair-color"": ""-""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""Formerly the Secret Society of Super Villains"", ""relatives"": ""Professor Ivo (creator), Kid Amazo (cyborg offspring)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg""}"
20,21,Ammo,"{""intelligence"": ""null"", ""strength"": ""null"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""Daredevil #252 (March, 1988)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""6'2"", ""188 cm""], ""weight"": [""225 lb"", ""101 kg""], ""eye-color"": ""Brown"", ""hair-color"": ""Black""}","{""occupation"": ""Gang leader , criminal , former soldier"", ""base"": ""New York City""}","{""group-affiliation"": ""former leader of the Wildboys"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/184.jpg""}"
21,22,Ando Masahashi,"{""intelligence"": ""null"", ""strength"": ""null"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": ""Ando Masahashi"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Huggerz69"", ""Sidekick""], ""place-of-birth"": ""-"", ""first-appearance"": ""-"", ""publisher"": ""NBC - Heroes"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""Yamagato Industries computer programmer"", ""base"": ""-""}","{""group-affiliation"": ""-"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg""}"
22,23,Angel,"{""intelligence"": ""75"", ""strength"": ""30"", ""speed"": ""58"", ""durability"": ""90"", ""power"": ""100"", ""combat"": ""75""}","{""full-name"": ""Liam"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Angelus"", ""Twilight""], ""place-of-birth"": ""-"", ""first-appearance"": ""-"", ""publisher"": ""Dark Horse Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Vampire"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""-"", ""relatives"": ""Kathy (sister), Connor (son), Twilight (\""child\"")""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg""}"
23,24,Angel,"{""intelligence"": ""63"", ""strength"": ""13"", ""speed"": ""46"", ""durability"": ""64"", ""power"": ""28"", ""combat"": ""42""}","{""full-name"": ""Warren Kenneth Worthington III"", ""alter-egos"": ""Archangel"", ""aliases"": [""Formerly Death"", ""Dark Angel"", ""Angel"", ""Avenging Angel"", ""Archangel""], ""place-of-birth"": ""Centerport, Long Island, New York"", ""first-appearance"": ""X-Men #54-56 (1969)"", ""publisher"": ""Archangel"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""6'0"", ""183 cm""], ""weight"": [""150 lb"", ""68 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist"", ""base"": ""-""}","{""group-affiliation"": ""X-Men, Mutantes Sans Fronti\ufffdres, Hellfire Club; formerly Secret Defenders, X-Factor/X-Terminators, Horsemen of Apocalypse, Defenders, Death's champions, Champions of Los Angeles"", ""relatives"": ""Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram \""Burt\"" Worthington (Dazzler, paternal uncle), unnamed cousin""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/829.jpg""}"
24,25,Angel Dust,"{""intelligence"": ""38"", ""strength"": ""55"", ""speed"": ""23"", ""durability"": ""42"", ""power"": ""17"", ""combat"": ""30""}","{""full-name"": ""Christina"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Angel"", ""Dusty""], ""place-of-birth"": ""-"", ""first-appearance"": ""Morlocks #1"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""Mutant"", ""height"": [""5'5"", ""165 cm""], ""weight"": [""126 lb"", ""57 kg""], ""eye-color"": ""Yellow"", ""hair-color"": ""Black""}","{""occupation"": ""-"", ""base"": ""Chicago, Illinois""}","{""group-affiliation"": ""-"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg""}"
25,26,Angel Salvadore,"{""intelligence"": ""38"", ""strength"": ""10"", ""speed"": ""28"", ""durability"": ""28"", ""power"": ""56"", ""combat"": ""60""}","{""full-name"": ""Angel Salvadore Bohusk"", ""alter-egos"": ""Tempest"", ""aliases"": [""Tempest""], ""place-of-birth"": ""-"", ""first-appearance"": ""New X-Men #118 (November, 2001)"", ""publisher"": ""Tempest"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""null"", ""height"": [""5'4"", ""163 cm""], ""weight"": [""121 lb"", ""54 kg""], ""eye-color"": ""Brown"", ""hair-color"": ""Black""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""Formerly New Warriors; Special Class"", ""relatives"": ""Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg""}"
26,27,Angela,"{""intelligence"": ""null"", ""strength"": ""97"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""-"", ""publisher"": ""Image Comics"", ""alignment"": ""bad""}","{""gender"": ""Female"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""-"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg""}"
27,28,Animal Man,"{""intelligence"": ""56"", ""strength"": ""48"", ""speed"": ""47"", ""durability"": ""85"", ""power"": ""73"", ""combat"": ""80""}","{""full-name"": ""Bernhard Baker"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""The Human Zoo; A-Man; The Man with Animal Powers""], ""place-of-birth"": ""-"", ""first-appearance"": ""Strange Adventures #180 (September, 1965)"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""6'0"", ""183 cm""], ""weight"": [""185 lb"", ""83 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""-"", ""base"": ""San Diego, California""}","{""group-affiliation"": ""Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe"", ""relatives"": ""Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/632.jpg""}"
28,29,Annihilus,"{""intelligence"": ""75"", ""strength"": ""80"", ""speed"": ""47"", ""durability"": ""56"", ""power"": ""59"", ""combat"": ""64""}","{""full-name"": ""Annihilus"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""The Living Death That Walks"", ""Lord of the Negative Zone""], ""place-of-birth"": ""Planet of Arthros, Sector 17A, Negative Zone"", ""first-appearance"": ""Fantastic Four Annual #6 (1968)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""5'11"", ""180 cm""], ""weight"": [""200 lb"", ""90 kg""], ""eye-color"": ""Green"", ""hair-color"": ""No Hair""}","{""occupation"": ""Conqueror, scavenger"", ""base"": ""-""}","{""group-affiliation"": ""Sometime ally of Blastaar"", ""relatives"": ""Annihilus is a series of clonal scions""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg""}"
